Lon_dec,Lat_dec,Year,Scientific_name,Original_scientific_name,Depth_min,Depth_max,SST,Genus,Species,Year_extra,Month,Day
-128.3917389,51.45930099,2016,Pyrosoma,"Pyrosoma",NaN,NaN,10.19,Pyrosoma,,NaN,NaN,NaN
-128.649353,52.04868317,2016,Pyrosoma,"Pyrosoma",NaN,NaN,10.13,Pyrosoma,,NaN,NaN,NaN
103.83,1.215,1969,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1969,NaN,NaN
160.05,-45.05,1966,Pyrosomatidae,"Pyrosomatidae",0,10,12.13,,,1966,NaN,NaN
122.09,16.12,1969,Pyrosoma,"Pyrosoma",0,150,28.58,Pyrosoma,,1969,NaN,NaN
173.388833,-43.470167,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",76,80,12.5,Pyrosoma,Pyrosoma atlanticum,2016,4,26
103.83,1.215,1969,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1969,NaN,NaN
125.958,6.1,1969,Pyrosoma,"Pyrosoma",0,150,28.95,Pyrosoma,,1969,NaN,NaN
103.83,1.215,1969,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1969,NaN,NaN
103.83,1.215,1970,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1970,NaN,NaN
125.972,6.04,1968,Pyrosoma,"Pyrosoma",0,149,28.95,Pyrosoma,,1968,NaN,NaN
100.17,12.17,1968,Pyrosoma,"Pyrosoma",0,0,29.09,Pyrosoma,,1968,NaN,NaN
126.5,11.75,1968,Pyrosoma,"Pyrosoma",0,142.6,29.12,Pyrosoma,,1968,NaN,NaN
123.475,17.48,1968,Pyrosoma,"Pyrosoma",0,144,28.59,Pyrosoma,,1968,NaN,NaN
124.7,13.28,1969,Pyrosoma,"Pyrosoma",0,150,28.82,Pyrosoma,,1969,NaN,NaN
126.67,5.32,1968,Pyrosoma,"Pyrosoma",0,146,29.2,Pyrosoma,,1968,NaN,NaN
127.4,4.625,1969,Pyrosoma,"Pyrosoma",0,150,29.14,Pyrosoma,,1969,NaN,NaN
130.18,8.45,1969,Pyrosoma,"Pyrosoma",0,150,29.16,Pyrosoma,,1969,NaN,NaN
123.42,14.22,1969,Pyrosoma,"Pyrosoma",0,40,28.67,Pyrosoma,,1969,NaN,NaN
77.77,6.1,1962,Pyrosomatidae,"Pyrosomatidae",0,200,28.59,,,1962,NaN,NaN
103.83,1.215,1969,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1969,NaN,NaN
103.83,1.215,1969,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1969,NaN,NaN
-128.318573,51.55721664,2016,Pyrosoma,"Pyrosoma",NaN,NaN,10.14,Pyrosoma,,NaN,NaN,NaN
-128.1999512,51.40316772,2016,Pyrosoma,"Pyrosoma",NaN,NaN,10.13,Pyrosoma,,NaN,NaN,NaN
